method,attack,epsilon,model,model_role,sample_count,generated_count,psnr,ssim,ciede2000,asr_paper_denominator,asr_clean_correct_only,strict_asr_sample_count,exact_container_recovery_rate,paper_rgb_recovery_rate,sup_png_verified_count,sup_png_recovery_rate,maximum_channel_error,runtime_seconds
OURS,MI-FGSM,2/255,inception_v3,white_box,1,1,35.79015830877405,0.9621211400359657,2.2794706362548576,1.0,1.0,1,1.0,0.0,1,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,googlenet,white_box,1,1,35.79015830877405,0.9621211400359657,2.2794706362548576,0.0,0.0,1,1.0,0.0,1,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,densenet161,white_box,1,1,35.79015830877405,0.9621211400359657,2.2794706362548576,1.0,1.0,1,1.0,0.0,1,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,resnet50,black_box,1,1,35.79015830877405,0.9621211400359657,2.2794706362548576,1.0,1.0,1,1.0,0.0,1,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,vgg19,black_box,1,1,35.79015830877405,0.9621211400359657,2.2794706362548576,0.0,0.0,1,1.0,0.0,1,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,inception_v3,white_box,10,10,41.59038450576036,0.9768389717066132,1.421887840213328,1.0,1.0,10,1.0,0.0,10,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,googlenet,white_box,10,10,41.59038450576036,0.9768389717066132,1.421887840213328,0.5,0.5,10,1.0,0.0,10,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,densenet161,white_box,10,10,41.59038450576036,0.9768389717066132,1.421887840213328,0.9,0.9,10,1.0,0.0,10,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,resnet50,black_box,10,10,41.59038450576036,0.9768389717066132,1.421887840213328,0.4,0.25,8,1.0,0.0,10,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,vgg19,black_box,10,10,41.59038450576036,0.9768389717066132,1.421887840213328,0.3,0.125,8,1.0,0.0,10,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,inception_v3,white_box,1000,978,41.24390991569916,0.978252880103859,1.4024773215432493,1.0,1.0,978,1.0,0.0010224948875255625,978,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,googlenet,white_box,1000,978,41.24390991569916,0.978252880103859,1.4024773215432493,0.7321063394683026,0.7321063394683026,978,1.0,0.0010224948875255625,978,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,densenet161,white_box,1000,978,41.24390991569916,0.978252880103859,1.4024773215432493,0.7822085889570553,0.7822085889570553,978,1.0,0.0010224948875255625,978,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,resnet50,black_box,1000,978,41.24390991569916,0.978252880103859,1.4024773215432493,0.4233128834355828,0.27741935483870966,775,1.0,0.0010224948875255625,978,1.0,0,2747.370899899979
OURS,MI-FGSM,2/255,vgg19,black_box,1000,978,41.24390991569916,0.978252880103859,1.4024773215432493,0.4948875255623722,0.24186046511627907,645,1.0,0.0010224948875255625,978,1.0,0,2747.370899899979
OURS,FGSM,2/255,inception_v3,white_box,1,1,34.639799428728715,0.9550377021183176,2.331998839889973,1.0,1.0,1,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,googlenet,white_box,1,1,34.639799428728715,0.9550377021183176,2.331998839889973,0.0,0.0,1,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,densenet161,white_box,1,1,34.639799428728715,0.9550377021183176,2.331998839889973,1.0,1.0,1,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,resnet50,black_box,1,1,34.639799428728715,0.9550377021183176,2.331998839889973,1.0,1.0,1,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,vgg19,black_box,1,1,34.639799428728715,0.9550377021183176,2.331998839889973,0.0,0.0,1,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,inception_v3,white_box,10,10,41.17555101586581,0.9747501008917252,1.4177549211542688,1.0,1.0,10,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,googlenet,white_box,10,10,41.17555101586581,0.9747501008917252,1.4177549211542688,0.3,0.3,10,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,densenet161,white_box,10,10,41.17555101586581,0.9747501008917252,1.4177549211542688,0.6,0.6,10,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,resnet50,black_box,10,10,41.17555101586581,0.9747501008917252,1.4177549211542688,0.3,0.125,8,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,vgg19,black_box,10,10,41.17555101586581,0.9747501008917252,1.4177549211542688,0.2,0.0,8,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,inception_v3,white_box,1000,977,40.79408606613341,0.9759656822263564,1.3668528210292121,0.9979529170931423,0.9979529170931423,977,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,googlenet,white_box,1000,977,40.79408606613341,0.9759656822263564,1.3668528210292121,0.5977482088024565,0.5977482088024565,977,1.0,,0,,0,1172.588708199968
OURS,FGSM,2/255,densenet161,white_box,1000,977,40.79408606613341,0.9759656822263564,1.3668528210292121,0.6775844421699079,0.6775844421699079,977,1.0,,0,,0,1172.588708199968
