method,attack,epsilon,model,model_role,sample_count,generated_count,psnr,ssim,ciede2000,asr_paper_denominator,asr_clean_correct_only,strict_asr_sample_count,exact_container_recovery_rate,paper_rgb_recovery_rate,sup_png_verified_count,sup_png_recovery_rate,maximum_channel_error,runtime_seconds
YACK,FGSM,2/255,inception_v3,white_box,1,1,36.02439072736998,0.9643295073307919,2.259386254313982,1.0,1.0,1,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,googlenet,white_box,1,1,36.02439072736998,0.9643295073307919,2.259386254313982,0.0,0.0,1,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,densenet161,white_box,1,1,36.02439072736998,0.9643295073307919,2.259386254313982,0.0,0.0,1,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,resnet50,black_box,1,1,36.02439072736998,0.9643295073307919,2.259386254313982,1.0,1.0,1,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,vgg19,black_box,1,1,36.02439072736998,0.9643295073307919,2.259386254313982,0.0,0.0,1,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,inception_v3,white_box,10,10,41.436390511688515,0.976047175584411,1.405814953652651,1.0,1.0,10,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,googlenet,white_box,10,10,41.436390511688515,0.976047175584411,1.405814953652651,0.0,0.0,10,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,densenet161,white_box,10,10,41.436390511688515,0.976047175584411,1.405814953652651,0.0,0.0,10,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,resnet50,black_box,10,10,41.436390511688515,0.976047175584411,1.405814953652651,0.3,0.125,8,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,vgg19,black_box,10,10,41.436390511688515,0.976047175584411,1.405814953652651,0.2,0.0,8,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,inception_v3,white_box,1000,994,41.47747383994661,0.9786529892107869,1.3238002649947658,0.9989939637826962,0.9989939637826962,994,1.0,,0,,0,1490.6683886999963
YACK,FGSM,2/255,googlenet,white_box,1000,994,41.47747383994661,0.9786529892107869,1.3238002649947658,0.05734406438631791,0.05734406438631791,994,1.0,,0,,0,1490.6683886999963
